"id","scientific_name","common_name","latitude","longitude","iso_country_code","taxon_id","year","basis_of_record","provider","resource","occurrence_date","collector","SPACER","ID","SpeciesCode","Date","StartEasting","StartNorthing","StartZone","Observers","Method","Count","tsn","Genus","Species","SubSpecies","CommonName","scientificName","scientificName_clean","Kingdom","Phylum","Class","Order","Family","taxonRank","Year","Month","Day","BasisOfRecord","institutionCode","collectionCode","DD_Longitude","DD_Latitude"
1,"Anolis cristatellus","man lizard",18.3185030859911,-64.7192046324454,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-20","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",1,"Acr","2002-05-20",318308,2026281,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",2,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,20,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.7192046324454,18.3185030859911
2,"Anolis cristatellus","man lizard",18.324380044752,-64.7836953460847,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-21","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",2,"Acr","2002-05-21",311497,2026997,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",1,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,21,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.7836953460847,18.324380044752
3,"Anolis cristatellus","man lizard",18.3231502251323,-64.72586317652,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-20",,"<--BISON | GBIF-->",3,"Acr","2002-05-20",317609,2026802,20,,"Visual Encounter",8,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,20,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.72586317652,18.3231502251323
4,"Anolis cristatellus","man lizard",18.3220295739621,-64.7585458129072,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-22","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",4,"Acr","2002-05-22",314153,2026711,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",1,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,22,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.7585458129072,18.3220295739621
5,"Anolis cristatellus","man lizard",18.347395028067,-64.7433046723662,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-19","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",5,"Acr","2002-05-19",315791,2029503,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",5,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,19,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.7433046723662,18.347395028067
6,"Anolis cristatellus","man lizard",18.3265396207921,-64.764239114121,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-21","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",6,"Acr","2002-05-21",313556,2027216,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",2,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,21,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.764239114121,18.3265396207921
7,"Anolis cristatellus","man lizard",18.3453739856928,-64.7723870649933,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-19","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",7,"Acr","2002-05-19",312715,2029309,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",4,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,19,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.7723870649933,18.3453739856928
8,"Anolis cristatellus","man lizard",18.352741434218,-64.753397126992,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-22","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",8,"Acr","2002-05-22",314730,2030105,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",1,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,22,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.753397126992,18.352741434218
9,"Anolis cristatellus","man lizard",18.3520194065024,-64.7533141463049,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-22","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",9,"Acr","2002-05-22",314738,2030025,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",2,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,22,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.7533141463049,18.3520194065024
10,"Anolis cristatellus","man lizard",18.3224568811021,-64.7621732906957,"VI",173887,2002,"observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002","2002-05-21","J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","<--BISON | GBIF-->",10,"Acr","2002-05-21",313770,2026762,20,"J Hardin Waddle/Kenneth G Rice/Marquette E Crockett/Andy J Maskell","Visual Encounter",4,173887,"Anolis","cristatellus",,"man lizard","Anolis cristatellus","Anolis cristatellus","Animalia","Chordata","Reptilia","Squamata","Polychrotidae","Species",2002,5,21,"Human Observation","BISON","USGS Southeast Ecological Science Center - Virgin Islands Herpetofauna 2001-2002",-64.7621732906957,18.3224568811021
